Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
173,Bryant,AE,20-13,-0.91,101.1,102.0,74.2,+.066,-1.60,104.2,105.8,+3.72
174,East Tennessee St.,SC,19-16,-0.97,103.4,104.4,67.1,+.028,-0.06,106.3,106.4,+0.97
175,Fairfield,MAAC,24-13,-0.98,108.4,109.4,68.6,+.033,-5.23,101.8,107.0,-2.59
176,Winthrop,BSth,17-15,-1.11,107.0,108.1,67.0,-.057,-1.90,105.9,107.8,+1.19
177,UC Davis,BW,20-13,-1.12,102.3,103.4,67.2,+.035,-2.64,105.0,107.6,-4.20
178,UTEP,CUSA,18-16,-1.15,98.4,99.5,69.8,-.009,-0.57,105.2,105.8,-0.78
179,Illinois St.,MVC,15-17,-1.86,102.7,104.6,63.8,+.021,+1.13,107.3,106.2,-4.00
180,Texas St.,SB,17-18,-1.93,100.7,102.6,66.5,+.037,+1.38,107.0,105.6,+7.12
181,Temple,Amer,16-20,-2.21,102.6,104.8,66.9,+.033,+2.26,108.2,106.0,-1.69
182,Texas A&M Corpus Chris,Slnd,21-12,-2.25,100.4,102.7,68.9,-.006,-7.55,101.7,109.3,+1.51
183,Vanderbilt,SEC,9-23,-2.26,105.2,107.4,65.7,+.023,+10.30,112.2,101.9,-1.41
184,Tulsa,Amer,16-15,-2.27,103.0,105.3,70.6,+.001,-1.13,105.9,107.0,-10.43
185,Louisville,ACC,8-24,-2.31,105.9,108.2,69.9,-.036,+9.33,111.4,102.1,-4.31
186,Northern Kentucky,Horz,18-15,-2.33,103.3,105.6,68.2,+.018,-2.23,106.1,108.3,+4.23
187,Loyola Marymount,WCC,12-19,-2.37,108.4,110.7,64.7,-.112,-0.08,106.5,106.6,-1.87
188,Fordham,A10,13-20,-2.41,101.2,103.6,68.8,-.027,+1.70,106.9,105.2,-5.96
189,East Carolina,Amer,15-18,-2.45,104.8,107.2,65.0,-.002,+1.08,107.0,105.9,-6.50
190,Cal Baptist,WAC,16-17,-2.47,103.2,105.7,63.7,-.045,-1.40,103.9,105.3,-6.14
191,Brown,Ivy,13-18,-2.47,104.3,106.7,67.3,-.010,+0.93,106.5,105.6,+0.09
192,Georgetown,BE,9-23,-2.50,110.6,113.1,66.7,-.021,+9.93,110.5,100.5,-7.21
193,Wofford,SC,17-15,-2.57,107.5,110.1,65.6,+.060,+1.16,107.3,106.1,+3.75
194,Little Rock,OVC,21-13,-2.62,106.7,109.3,68.9,-.014,-8.87,100.9,109.8,-6.29
195,La Salle,A10,16-17,-2.74,106.1,108.8,66.7,+.045,+1.15,106.8,105.6,-7.42
196,Illinois Chicago,MVC,12-21,-2.76,100.9,103.6,68.3,-.064,+2.55,107.4,104.8,-3.02
197,Cleveland St.,Horz,21-15,-2.78,106.1,108.9,67.5,+.033,-3.43,105.2,108.6,-1.07
198,Monmouth,CAA,18-15,-2.82,105.7,108.6,67.9,+.058,-1.59,105.8,107.4,+1.67
199,Saint Louis,A10,13-20,-2.83,111.5,114.4,69.5,+.061,+5.59,108.3,102.7,+3.08
200,Jacksonville St.,CUSA,14-18,-2.94,102.0,105.0,64.8,-.109,-1.95,104.3,106.3,-2.65
201,Saint Peter's 15,MAAC,19-14,-3.03,98.4,101.4,64.1,+.041,-3.95,102.8,106.8,+0.54
202,Northern Colorado,BSky,19-14,-3.25,107.6,110.8,70.0,+.011,-4.41,104.6,109.0,-2.54
203,George Washington,A10,15-17,-3.41,107.3,110.7,69.8,-.011,+0.18,105.6,105.4,-10.51
204,Gardner Webb,BSth,17-16,-3.59,102.3,105.9,69.5,+.078,+0.69,107.4,106.7,+7.03
205,UC Santa Barbara,BW,16-15,-3.63,106.2,109.8,67.4,-.014,-2.82,103.6,106.4,-4.59
206,Rhode Island,A10,12-20,-3.85,106.7,110.5,68.8,-.001,+3.49,107.8,104.3,+0.62
207,Abilene Christian,WAC,16-18,-3.86,101.8,105.6,68.6,+.050,+0.50,104.8,104.3,+0.49
208,Evansville,MVC,17-18,-3.92,102.1,106.1,68.6,+.071,+2.14,106.9,104.8,-6.06
209,Mercer,SC,16-17,-3.94,104.4,108.4,66.2,+.035,-0.68,106.5,107.2,-2.40
210,Lamar,Slnd,19-14,-3.97,104.3,108.3,68.3,-.030,-7.84,101.8,109.7,-3.27
211,Eastern Kentucky,ASun,17-14,-4.02,107.0,111.0,68.9,+.016,-4.03,105.9,109.9,+3.14
212,Merrimack,NEC,21-12,-4.03,96.8,100.9,67.4,+.018,-8.67,100.4,109.0,+3.91
213,Penn,Ivy,11-18,-4.08,109.3,113.3,65.5,-.071,+1.27,106.9,105.6,+2.36
214,UMKC,Sum,16-16,-4.10,101.3,105.3,66.7,-.029,-3.63,105.3,108.9,+0.07
215,Marist,MAAC,18-13,-4.15,97.0,101.1,64.8,+.001,-6.98,101.1,108.1,-7.76
216,Tennessee Martin,OVC,21-11,-4.20,106.6,110.8,73.0,+.066,-6.29,101.9,108.2,+3.03
217,UC Riverside,BW,16-18,-4.21,104.7,108.9,67.1,+.021,-0.57,105.2,105.7,+3.72
218,Georgia St.,SB,14-17,-4.31,105.7,110.0,68.0,-.019,-1.05,105.6,106.6,+0.23
219,Norfolk St.,MEAC,24-11,-4.41,104.3,108.7,66.3,+.087,-7.45,100.5,108.0,+2.15
220,Stetson 16,ASun,22-13,-4.51,109.8,114.3,66.5,+.145,-2.86,105.7,108.6,+4.58
221,South Alabama,SB,16-16,-4.55,104.4,109.0,68.3,+.043,-2.53,104.8,107.4,-5.26
222,Milwaukee,Horz,20-15,-4.60,108.0,112.6,70.2,+.067,-3.24,105.2,108.4,+1.23
223,Montana St. 16,BSky,17-18,-4.65,103.5,108.2,69.0,-.009,-3.58,105.1,108.7,+0.08
224,Pepperdine,WCC,13-20,-4.66,106.1,110.8,67.4,-.087,+0.57,106.8,106.2,+0.57
225,Rider,MAAC,15-17,-4.68,102.8,107.5,68.1,-.018,-2.48,103.4,105.8,+8.98
226,Iona,MAAC,16-17,-4.86,103.5,108.4,67.1,-.045,-5.11,102.7,107.9,-0.52
227,Radford,BSth,16-17,-4.94,107.4,112.4,63.6,+.018,-1.72,105.6,107.3,+0.14
228,Harvard,Ivy,14-13,-4.95,102.0,106.9,67.5,+.075,-0.53,107.0,107.5,-2.08
229,Rice,Amer,11-21,-5.09,106.6,111.7,65.9,-.059,+2.60,107.7,105.1,-0.51
230,Green Bay,Horz,18-14,-5.10,104.0,109.0,63.7,+.070,-3.05,105.3,108.4,+1.99
231,Maine,AE,15-17,-5.23,97.3,102.5,65.5,+.003,-2.74,104.2,106.9,-1.33
232,Columbia,Ivy,13-14,-5.39,106.7,112.1,68.6,-.036,-2.61,104.2,106.8,-7.48
233,Cal St. Northridge,BW,19-15,-5.41,100.1,105.5,72.7,+.051,-3.37,103.8,107.2,-7.46
234,Nicholls St.,Slnd,20-14,-5.43,104.5,109.9,66.3,+.101,-3.56,103.8,107.4,+9.64
235,Cal St. Fullerton,BW,14-18,-5.45,100.1,105.5,66.5,+.019,+0.09,105.7,105.6,+5.30
236,North Dakota,Sum,18-14,-5.48,105.4,110.9,66.8,+.025,-5.57,104.7,110.3,-5.85
237,Fresno St.,MWC,12-21,-5.53,103.5,109.0,65.6,+.002,+5.22,109.4,104.1,-4.05
238,Marshall,SB,13-20,-5.55,101.4,106.9,70.5,-.013,-0.24,106.6,106.8,+1.92
239,Bowling Green,MAC,20-14,-5.57,102.4,107.9,67.8,+.048,-5.56,103.0,108.6,-5.50
240,North Florida,ASun,16-16,-5.61,107.1,112.7,67.2,-.007,-3.61,105.9,109.5,+1.05
241,Florida Gulf Coast,ASun,14-18,-5.63,103.3,109.0,63.9,-.054,-2.49,106.8,109.3,+4.75
242,Southern Utah,WAC,10-21,-5.73,106.0,111.8,69.6,-.076,+0.89,104.9,104.0,+2.06
